 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Chris Bosh,MIA,29,23,16,7,32.7,106.4,101.1,5.2,7.5,1.26,10.4,5.8,18.5,12.3,8.2,49,52.4,18.7,89.53,11.1,1401
1,LeBron James,MIA,28,23,16,7,41.8,109.9,103,7,30,2.17,20.8,4.3,17.4,11.1,9.6,53.2,58.5,29.1,88.29,20.5,1771
1,Mario Chalmers,MIA,27,23,16,7,28.3,107.6,98.7,9,16.9,1.87,22.5,1.7,7.2,4.5,12.1,48.1,52.3,17.9,89.11,6.4,1206
1,Ray Allen,MIA,37,23,16,7,24.9,113.8,101.1,12.7,8.1,1.07,11.9,2.6,9.5,6.1,11.1,54.4,59.8,17.6,89.19,9.1,1076
5,Dwyane Wade,MIA,31,22,15,7,35.6,105.4,102.5,3,24.6,1.81,20.5,5.4,8.8,7.1,11.3,45.9,49.8,24.8,89.5,12.3,1455
5,Shane Battier,MIA,34,22,15,7,17.8,108,100.3,7.8,4.8,2.4,9.8,2.5,7.8,5.1,4.1,43,48.9,13.2,89.51,2.9,735
5,Udonis Haslem,MIA,33,22,15,7,16.2,100.9,99,2,2.8,0.43,5.4,8.2,16.1,12.3,12.5,59.3,59.7,14.4,89.39,8.7,662
8,Danny Green,SAS,26,21,15,6,31.9,102.9,100.3,2.6,7.8,1.68,13.1,2.8,10,6.5,7.8,59.4,60.5,14.7,91.49,9.4,1273
8,Gary Neal,SAS,28,21,15,6,18.6,107.8,100.5,7.3,5.9,1.15,8.8,0.3,11.3,5.9,7.6,47,50.3,17.8,94.83,5.8,766
8,Kawhi Leonard,SAS,22,21,15,6,36.9,107.1,98.2,8.9,4.5,0.96,8,6.9,17.9,12.6,8.4,60,61.1,15.2,90.42,13.4,1461
8,Manu Ginobili,SAS,35,21,15,6,26.7,108,98.8,9.2,30,1.91,27,1.7,12.1,7.2,14.1,47.4,53,23.2,93.64,11.1,1091
8,Norris Cole,MIA,24,21,14,7,19.9,106.3,99.6,6.6,17.3,1.83,23.9,1.7,7.8,5,13.1,56.4,58.4,15.2,89.84,8.5,783
8,Tim Duncan,SAS,37,21,15,6,35,106.2,99.1,7.1,9.8,0.95,9,7.8,22,15.1,9.4,47,52.3,25.9,89.87,15.3,1376
8,Tony Parker,SAS,31,21,15,6,36.4,106.2,100,6.2,34.2,2.75,23.8,2,7.1,4.7,8.6,47.3,52.1,28.8,90.78,14.5,1446
15,Chris Andersen,MIA,34,20,15,5,15.2,116.8,97.6,19.1,1.7,0.27,3.3,12.1,15,13.6,12,80.7,81.5,13.9,87.09,14.6,555
15,Cory Joseph,SAS,21,20,15,5,9.6,105.2,91.5,13.7,19.5,2.4,25.5,4.1,11.1,7.7,10.6,48.2,48.5,16.2,98.26,8.5,385
15,Matt Bonner,SAS,33,20,15,5,13.3,109,98.3,10.7,3.2,3,8.3,3.6,10.8,7.4,2.8,60.2,63,11.5,93.68,6.5,522
18,D.J. Augustin,IND,25,19,11,8,16.6,93.2,110.9,-17.7,8,1.3,12.5,0.6,4.4,2.5,9.6,51.4,57.9,13,90.91,5.7,604
18,David West,IND,32,19,11,8,36.2,105,100.9,4.1,10.9,0.87,10.4,6.7,14.8,11,12,46.2,52,23,89.56,11.7,1286
18,Lance Stephenson,IND,22,19,11,8,35.4,104.5,99.1,5.4,15.9,1.75,22.2,2.3,19.3,11.2,12.7,46.2,48.3,15.2,89.1,11.1,1252
18,Paul George,IND,23,19,11,8,41,103.2,100.4,2.8,23.9,1.28,19,2.2,16.1,9.4,14.9,49.1,54.8,24.1,89.19,13.4,1450
18,Roy Hibbert,IND,26,19,11,8,36.5,105.9,100.1,5.8,7.2,0.6,7.4,14.4,14.2,14.3,12.2,51.1,57.6,21.7,88.31,13.7,1283
18,Tiago Splitter,SAS,28,19,13,6,20.4,97.3,94.7,2.6,9.7,0.96,15.6,5.9,8.8,7.5,16.3,53.6,58.9,15.1,92.99,7.6,747
18,Tyler Hansbrough,IND,27,19,11,8,12.7,93.8,100.9,-7.1,4.3,0.33,5,13.6,11.4,12.6,14.9,41.9,47.9,17.3,90.61,4.2,448
25,George Hill,IND,27,18,11,7,38.1,105.9,100,5.9,19.8,1.93,21.8,0.8,9.2,5.2,11.3,48.3,54.7,18.7,89.1,11,1274
25,Ian Mahinmi,IND,26,18,10,8,8.3,86.8,102.4,-15.6,1.3,0.08,2.1,12,15.4,13.6,25.5,44.8,43.4,13.7,92.48,1.5,288
27,Mike Miller,MIA,33,17,10,7,13.6,110.7,98.6,12,9.3,3,23.1,1.6,12.9,7.9,7.7,64.4,64.4,10.2,91.36,7.6,440
28,Boris Diaw,SAS,31,16,10,6,17,106.8,99.3,7.5,15,2.15,27.5,3.5,11.6,7.9,12.7,49.1,54,12.6,93.94,6.8,530
29,Darrell Arthur,MEM,25,15,8,7,11.6,100.9,106.3,-5.4,6.2,0.86,8.6,7.2,14.3,10.5,10,47.2,50.9,16,95.55,5.1,346
29,Jerryd Bayless,MEM,24,15,8,7,21.3,100.8,107.8,-7,18.1,2,16.4,0.3,10.2,4.7,8.2,42.3,46.8,22.4,93.59,7.1,632
29,Marc Gasol,MEM,28,15,8,7,40.6,103.9,99.2,4.7,14.5,2.67,15.4,3.9,18.1,10.6,5.8,45.4,52.7,20.1,88.74,14.4,1126
29,Mike Conley,MEM,25,15,8,7,38.3,104.6,100.5,4.1,33.3,3.15,27,2.1,11.1,6.4,8.6,42.6,49.6,23.2,89,13.9,1063
29,Quincy Pondexter,MEM,25,15,8,7,23.8,100.4,101.6,-1.2,5.6,1.22,8.8,2.3,8.8,5.2,7.2,61.7,62.5,14,92.2,8.9,692
29,Sam Young,IND,28,15,8,7,8.7,90,108,-18,5.4,0.57,10.3,8.4,14.2,11.2,17.9,41.7,47.2,12.2,90.11,4.9,240
29,Tayshaun Prince,MEM,33,15,8,7,30.2,104.3,103.5,0.9,10.8,2.9,17.1,2.7,10.4,6.5,5.9,37.6,40,14.6,88.11,6,830
29,Tony Allen,MEM,31,15,8,7,28.1,104.1,98.4,5.7,10.9,1.42,13.8,9,13.4,11.2,9.7,44,51.2,18.5,90.24,10.6,781
29,Zach Randolph,MEM,31,15,8,7,37,104.2,101.4,2.8,8.4,0.77,7.8,10.4,18.2,14.1,10,46,50.9,23.8,87.26,12.2,1013
38,Joel Anthony,MIA,30,14,8,6,5.1,91,106,-15,0,0,0,15.2,14.7,14.9,23.1,30,30,8.4,89.91,1.5,134
38,Keyon Dooling,MEM,33,14,7,7,8.1,100.9,104.9,-4,5.7,1.33,11.8,0,4.8,2.2,8.8,43.8,50.7,12.3,93.13,1.3,216
40,Andrew Bogut,GSW,28,12,6,6,27.2,105.7,99.5,6.1,9.8,1,18,13.2,26.7,20.5,18,58.2,55.8,13.6,96.17,11.9,653
40,Carl Landry,GSW,29,12,6,6,20.5,101.2,109.6,-8.4,12.2,0.89,10.7,8.8,16.5,12.6,11.9,52,57.8,24.6,96.81,12.6,500
40,Carlos Boozer,CHI,31,12,5,7,35.9,99.5,106.1,-6.6,8,0.62,7.6,8.1,21.2,14.2,12.3,49.4,52.4,23.4,88.26,12.1,796
40,Carmelo Anthony,NYK,29,12,6,6,40.1,100,98.5,1.5,9.3,0.61,4.8,2.2,16,8.6,7.8,43.4,49.7,37.6,87.83,14.2,878
40,DeJuan Blair,SAS,24,12,10,2,6.4,116.8,87,29.8,13.5,7,15.2,8.3,19.6,14.6,2.2,61.8,61.9,21.8,101.07,16.7,161
40,Draymond Green,GSW,23,12,6,6,18.6,102.8,101.7,1.1,12.4,1.58,20,6.8,14.9,11.2,12.6,50.9,55.1,14.7,100.37,8.3,464
40,Festus Ezeli,GSW,23,12,6,6,11.2,107,105.6,1.4,1.9,0.17,5.4,9.7,12.5,11.1,32.4,46.2,54,11,99.54,0.9,272
40,Harrison Barnes,GSW,21,12,6,6,38.4,104.6,102.9,1.6,5,0.94,7.1,4.1,12.5,8.4,7.6,50.3,54.4,18.5,95.7,9.4,920
40,Iman Shumpert,NYK,23,12,6,6,28.1,102.4,94.4,8,8.2,1.14,11.8,5.3,18.1,11.3,10.3,50,52.8,16.9,88.71,10.4,618
40,Jarrett Jack,GSW,29,12,6,6,35.5,103.6,105.4,-1.8,21.9,1.47,20.7,1.7,10.7,6.2,14.1,52.9,58.8,21.9,95.88,13.2,856
40,Jason Kidd,NYK,40,12,6,6,20.6,89.9,97.6,-7.7,15.8,1.85,38.1,2.6,15.5,8.5,20.6,18,21.3,7.4,88.88,6.7,457
40,Jimmy Butler,CHI,23,12,5,7,40.8,98.1,108.3,-10.2,11.3,2,17.3,1.9,11.8,6.6,8.6,50,57.5,14.6,88.61,10.4,904
40,Joakim Noah,CHI,28,12,5,7,34.1,98,107.7,-9.7,12.5,1.17,14.8,12.5,16.7,14.5,12.7,43.7,47.4,18,89.26,9.9,758
40,Kenyon Martin,NYK,35,12,6,6,21.1,97.6,97.5,0.2,7.6,1.38,14.1,6.3,16.1,11,10.3,58,58.7,12.9,88.61,9.7,463
40,Klay Thompson,GSW,23,12,6,6,41.3,104.6,101.8,2.7,6.9,0.92,9.9,1.8,8.8,5.4,10.8,50.9,51.5,17.7,95.39,6.5,987
40,Marco Belinelli,CHI,27,12,5,7,27.1,101.7,113.6,-11.9,17,2.07,18.7,0,12.6,5.9,9,48.6,54.7,19.7,87.04,9.6,589
40,Nate Robinson,CHI,29,12,5,7,33.7,106.9,109.2,-2.3,23.7,1.66,20.1,1.6,7,4.3,12.1,50.3,53.9,24.8,86.53,9.5,728
40,Nazr Mohammed,CHI,35,12,5,7,9.5,107,102.8,4.2,5.4,1.33,7.8,13.6,17.1,15.4,5.9,51.2,52.2,19.3,90.75,10.9,214
40,Orlando Johnson,IND,24,12,7,5,2.3,81.8,117.9,-36,7.7,1,5.9,0,12,4.8,5.9,22.7,33.4,23.9,95.28,0,55
40,Raymond Felton,NYK,29,12,6,6,37.8,100.1,97.4,2.8,22.9,2.8,22.6,3.6,6,4.7,8.1,47.2,49,20,88.35,11.2,836
