,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Brook Lopez,MIL,33,23,16,7,29,109.5,105.4,4.1,1.3,0.24,2.2,6.9,12.6,9.8,9.4,60.1,63.2,16.6,98.39,10.3,1371
1,Jrue Holiday,MIL,31,23,16,7,39.6,113.7,105.7,8.1,30.5,3.55,29.7,3.3,10.9,7,8.4,46.1,48.2,21.7,97.96,11.4,1865
1,Khris Middleton,MIL,29,23,16,7,40.1,112.2,106.1,6.1,19.2,1.59,17.4,2.6,16.1,9.2,10.9,50.4,54.8,26,97.75,12.7,1880
1,P.J. Tucker,MIL,36,23,16,7,29.6,114,105.4,8.6,4.4,2.5,18.5,6.8,9.1,7.9,7.4,48.5,49.1,6.9,98.22,3.1,1382
1,Pat Connaughton,MIL,28,23,16,7,23.7,112.1,108.3,3.8,4.8,1.67,12.8,4.9,13.3,8.9,7.7,61.8,63.3,10.4,98.84,7.5,1123
6,Cameron Payne,PHX,26,22,14,8,19,110.9,106.3,4.6,27.5,2.92,23.8,1.5,10.6,6.4,8.2,49,51,23.7,97.62,11.1,853
6,Deandre Ayton,PHX,22,22,14,8,36.4,112.9,107.8,5,4.6,0.89,8.1,8.9,22.5,16.1,9.1,65.8,67.4,15.9,96.29,14,1607
6,Devin Booker,PHX,24,22,14,8,40.4,113.8,107.7,6.2,18.1,1.23,13.9,1.8,11.5,7,11.3,49.4,55.8,31.2,96.43,11.6,1786
6,Jae Crowder,PHX,30,22,14,8,33.1,115,107.2,7.8,7.3,2.16,16,1.5,16,9.2,7.4,56,59.4,13.3,97.01,8.2,1474
6,Mikal Bridges,PHX,24,22,14,8,32.1,112.3,107.6,4.7,6.9,2.25,14.2,3.1,9.9,6.8,6.3,57.6,60.3,13.9,96.85,8.5,1424
6,Torrey Craig,PHX,30,22,14,8,12.1,110.5,105.4,5.1,4.8,0.9,9.2,7.4,14.5,11.3,10.2,52.7,53.9,14.4,100.08,6.1,551
12,Cameron Johnson,PHX,25,21,13,8,21.1,109.6,112.3,-2.7,5.3,1.07,10.4,3.7,10.8,7.3,9.7,65,69.3,13.7,97.74,9.5,907
12,Giannis Antetokounmpo,MIL,26,21,14,7,38.1,111.3,103.7,7.6,24.2,1.69,15.4,6.9,26.2,16.2,9.1,58.4,59.9,31.4,97.97,20.1,1635
14,Bobby Portis,MIL,26,20,14,6,18.3,115.6,108.1,7.5,4.5,1.33,6.6,8.1,17.9,12.8,4.9,52.3,54.3,18.4,100.81,10.8,774
14,Bryn Forbes,MIL,27,20,13,7,13.7,106.1,110.7,-4.6,3.2,0.86,4.7,0.6,9.2,4.7,5.5,55.8,56.7,17.4,102.52,7,595
14,Chris Paul,PHX,36,20,12,8,34.2,112.9,108.8,4,38.3,3.98,31.8,1.4,8.6,5.2,8,54.5,58.4,24,96.48,14.5,1376
17,Marcus Morris Sr.,LAC,31,19,10,9,31.8,113.4,114.3,-0.9,7.3,4,11.2,2.3,11.2,6.9,2.8,52,54.2,16.9,95.15,7.4,1197
17,Nicolas Batum,LAC,32,19,10,9,29.2,125.1,112.1,13,9.3,6.5,23.6,3.9,14.9,9.9,3.6,61.5,64.2,10.3,95.52,9.9,1100
17,Paul George,LAC,31,19,10,9,40.9,120.3,114.7,5.6,21.3,1.52,16.8,2.4,21.2,12.2,11,50.9,57.8,29.9,94.2,14.6,1518
17,Reggie Jackson,LAC,31,19,10,9,32.7,123.6,114.6,8.9,15.8,2.32,17.9,1.3,8.4,5.1,7.7,59.9,62.6,22.2,94.42,10.3,1222
17,Terance Mann,LAC,24,19,10,9,19.9,123,107.7,15.3,5.2,3.5,10.5,5.1,8.7,7.1,3,59.6,61.9,14.3,95.34,7.3,745
22,Bogdan Bogdanovic,ATL,28,18,10,8,33.2,110.2,107.7,2.5,12.7,1.93,15.6,1.8,10.5,6.2,8.1,48.4,49.3,20.7,96.98,7.4,1210
22,Clint Capela,ATL,27,18,10,8,31.6,109.3,108,1.3,4.3,0.94,8.9,10.7,23.7,17.3,9.5,60.3,59.1,13.4,98.12,11.3,1157
22,Danilo Gallinari,ATL,32,18,10,8,24.6,106.7,110.2,-3.4,5.3,0.93,6.2,1.7,12.8,7.3,6.6,52.3,58.7,20.4,99.37,9.6,919
22,John Collins,ATL,23,18,10,8,32,112.1,110.4,1.7,4,0.7,6.9,6.3,20.4,13.5,9.9,60.4,63.2,16.5,98,11,1174
22,Kevin Huerter,ATL,22,18,10,8,31,106.8,110.8,-4.1,14,2.68,19.9,1.9,9.7,5.8,7.4,51.9,53.1,15.8,99.36,7.6,1155
22,Lou Williams,ATL,34,18,10,8,15.4,105.1,108.6,-3.5,23.9,1.77,21.2,0.7,8,4.4,12,51.4,57,22.8,98.75,11.5,570
22,Onyeka Okongwu,ATL,20,18,10,8,9.2,98,104.8,-6.8,1.9,0.5,4.3,11.1,14,12.5,8.5,54.8,59.6,11,102.84,8.4,356
29,Ivica Zubac,LAC,24,17,9,8,17.7,109.3,111.7,-2.3,3.6,0.44,6.9,13.2,18.8,15.9,15.7,59.6,68.1,13.8,94.11,10.9,590
29,Patrick Beverley,LAC,32,17,8,9,19,111.4,110.8,0.6,10.8,6,23.8,3.4,9.8,6.5,4,52.2,56,10.7,95.92,6.6,643
31,Jeff Teague,MIL,33,16,10,6,7.5,104.9,119.6,-14.7,14.4,2.17,23.6,1.6,5.4,3.3,10.9,37.1,44.6,15.3,99.14,3.3,243
31,Trae Young,ATL,22,16,9,7,37.7,110.9,111.7,-0.7,42.1,2.38,24.1,1.1,6,3.6,10.1,48.1,55.1,34.2,98.82,14.6,1243
33,Luke Kennard,LAC,25,15,9,6,14.6,112.3,109,3.4,5,2.33,9.3,2.2,4.1,3.1,4,63.8,63.8,13.7,95.51,6.4,438
34,Dario Saric,PHX,27,14,11,3,10.5,114.8,102.7,12.1,14.1,2.33,19.7,6.6,16.8,12,8.5,55.6,61.6,17.2,96.8,10.6,297
